city; city_development_index с;grade
city_98;0,949;7
city_75;0,939;7
city_28;0,939;7
city_114;0,926;7
city_89;0,925;7
city_97;0,925;7
city_104;0,924;7
city_83;0,923;7
city_167;0,921;7
city_103;0,92;7
city_160;0,92;7
city_99;0,915;7
city_61;0,913;7
city_16;0,91;7
city_165;0,903;7
city_23;0,899;7
city_39;0,898;7
city_136;0,897;7
city_50;0,896;7
city_10;0,895;7
city_36;0,893;6
city_45;0,89;6
city_100;0,887;6
city_71;0,884;6
city_173;0,878;6
city_57;0,866;6
city_93;0,865;6
city_69;0,856;6
city_54;0,856;6
city_140;0,856;6
city_67;0,855;6
city_27;0,848;6
city_1;0,847;6
city_80;0,847;6
city_159;0,843;6
city_144;0,84;6
city_138;0,836;6
city_77;0,83;6
city_13;0,827;6
city_41;0,827;6
city_18;0,824;6
city_31;0,807;6
city_102;0,804;6
city_65;0,802;6
city_20;0,796;6
city_72;0,795;6
city_37;0,794;5
city_105;0,794;5
city_115;0,789;5
city_2;0,788;5
city_121;0,781;5
city_120;0,78;5
city_40;0,776;5
city_175;0,776;5
city_59;0,775;5
city_157;0,769;5
city_162;0,767;5
city_158;0,766;5
city_176;0,764;5
city_141;0,763;5
city_46;0,762;5
city_73;0,754;5
city_127;0,745;5
city_9;0,743;5
city_116;0,743;5
city_133;0,742;5
city_53;0,74;5
city_143;0,74;5
city_55;0,739;5
city_123;0,738;5
city_146;0,735;5
city_81;0,73;5
city_142;0,727;5
city_44;0,725;5
city_118;0,722;5
city_109;0,701;4
city_134;0,698;4
city_76;0,698;4
city_26;0,698;4
city_84;0,698;4
city_150;0,698;4
city_70;0,698;4
city_24;0,698;4
city_94;0,698;4
city_152;0,698;4
city_14;0,698;4
city_30;0,698;4
city_117;0,698;4
city_106;0,698;4
city_25;0,698;4
city_8;0,698;4
city_111;0,698;4
city_180;0,698;4
city_79;0,698;4
city_90;0,698;4
city_82;0,693;3
city_91;0,691;3
city_149;0,689;3
city_19;0,682;3
city_131;0,68;3
city_64;0,666;3
city_171;0,664;3
city_166;0,649;3
city_7;0,647;3
city_62;0,645;3
city_12;0,64;3
city_129;0,625;3
city_21;0,624;3
city_78;0,579;2
city_74;0,579;2
city_42;0,563;2
city_101;0,558;2
city_155;0,556;2
city_145;0,555;2
city_11;0,55;2
city_128;0,527;2
city_107;0,518;2
city_43;0,516;2
city_179;0,512;2
city_48;0,493;1
city_139;0,487;1
city_126;0,479;1
city_33;0,448;1
