training_hours;grade
336;4
334;4
332;4
330;4
328;4
326;4
324;4
322;4
320;4
316;4
314;4
312;4
310;4
308;4
306;4
304;4
302;4
300;3
298;3
294;3
292;3
290;3
288;3
286;3
284;3
282;3
280;3
278;3
276;3
272;3
270;3
268;3
266;3
264;3
262;3
260;3
258;3
256;3
254;3
250;3
248;3
246;3
244;3
242;3
240;3
238;3
236;3
234;3
232;3
228;3
226;3
224;3
222;3
220;3
218;3
216;3
214;3
212;3
210;3
206;3
204;3
202;3
200;2
198;2
196;2
194;2
192;2
190;2
188;2
184;2
182;2
180;2
178;2
176;2
174;2
172;2
170;2
168;2
167;2
166;2
165;2
164;2
163;2
162;2
161;2
160;2
158;2
157;2
156;2
155;2
154;2
153;2
152;2
151;2
150;2
149;2
148;2
147;2
146;2
145;2
144;2
143;2
142;2
141;2
140;2
139;2
138;2
136;2
135;2
134;2
133;2
132;2
131;2
130;2
129;2
128;2
127;2
126;2
125;2
124;2
123;2
122;2
121;2
120;2
119;2
118;2
117;2
116;2
114;2
113;2
112;2
111;2
110;2
109;2
108;2
107;2
106;2
105;2
104;2
103;2
102;2
101;2
100;1
99;1
98;1
97;1
96;1
95;1
94;1
92;1
91;1
90;1
89;1
88;1
87;1
86;1
85;1
84;1
83;1
82;1
81;1
80;1
79;1
78;1
77;1
76;1
75;1
74;1
73;1
72;1
71;1
70;1
69;1
68;1
67;1
66;1
65;1
64;1
63;1
62;1
61;1
60;1
59;1
58;1
57;1
56;1
55;1
54;1
53;1
52;1
51;1
50;1
49;1
48;1
47;1
46;1
45;1
44;1
43;1
42;1
41;1
40;1
39;1
38;1
37;1
36;1
35;1
34;1
33;1
32;1
31;1
30;1
29;1
28;1
27;1
26;1
25;1
24;1
23;1
22;1
21;1
20;1
19;1
18;1
17;1
16;1
15;1
14;1
13;1
12;1
11;1
10;1
9;1
8;1
7;1
6;1
5;1
4;1
3;1
2;1
1;1
